protocol,throughput_mbps,tcp_retransmits,bytes_received,transfer_size_mb,error,path_name,client_site,server_site,loss_percent,trial_number,latency_ms,client_ip,server_ip,timestamp
TCP,439.5647182750392,0.0,5111808,8,,MASS_NEWY,MASS,NEWY,0,1,4.672,10.10.1.1,10.10.1.2,2026-05-10T06:18:03.690070
QUIC,114.2441082792155,,8388608,8,,MASS_NEWY,MASS,NEWY,0,1,4.672,10.10.1.1,10.10.1.2,2026-05-10T06:18:06.704247
TCP,629.7369122871307,172.0,7733248,8,,MASS_NEWY,MASS,NEWY,0,2,4.656,10.10.1.1,10.10.1.2,2026-05-10T06:18:13.774544
QUIC,123.24479937800986,,8388608,8,,MASS_NEWY,MASS,NEWY,0,2,4.656,10.10.1.1,10.10.1.2,2026-05-10T06:18:17.137161
TCP,713.1181894197,0.0,7995392,8,,MASS_NEWY,MASS,NEWY,0,3,4.665,10.10.1.1,10.10.1.2,2026-05-10T06:18:24.449807
QUIC,121.66934667506511,,8388608,8,,MASS_NEWY,MASS,NEWY,0,3,4.665,10.10.1.1,10.10.1.2,2026-05-10T06:18:27.283225
TCP,478.17874025381786,62.0,5373952,8,,MASS_NEWY,MASS,NEWY,2,1,4.679,10.10.1.1,10.10.1.2,2026-05-10T06:18:37.574127
QUIC,14.086855245653355,,8388608,8,,MASS_NEWY,MASS,NEWY,2,1,4.679,10.10.1.1,10.10.1.2,2026-05-10T06:18:44.747607
TCP,501.11437367327204,45.0,5636096,8,,MASS_NEWY,MASS,NEWY,2,2,4.664,10.10.1.1,10.10.1.2,2026-05-10T06:18:52.222687
QUIC,13.56609210294837,,8388608,8,,MASS_NEWY,MASS,NEWY,2,2,4.664,10.10.1.1,10.10.1.2,2026-05-10T06:18:59.423811
TCP,752.5411503082987,45.0,9306112,8,,MASS_NEWY,MASS,NEWY,2,3,4.664,10.10.1.1,10.10.1.2,2026-05-10T06:19:06.771034
QUIC,12.900330278302782,,8388608,8,,MASS_NEWY,MASS,NEWY,2,3,4.664,10.10.1.1,10.10.1.2,2026-05-10T06:19:14.542482
TCP,15.537887011302965,263.0,7208960,8,,MASS_NEWY,MASS,NEWY,5,1,4.674,10.10.1.1,10.10.1.2,2026-05-10T06:19:28.844352
QUIC,7.565513338316426,,8388608,8,,MASS_NEWY,MASS,NEWY,5,1,4.674,10.10.1.1,10.10.1.2,2026-05-10T06:19:39.934269
TCP,13.904554468949788,269.0,8257536,8,,MASS_NEWY,MASS,NEWY,5,2,4.672,10.10.1.1,10.10.1.2,2026-05-10T06:19:51.980551
QUIC,7.551561068187107,,8388608,8,,MASS_NEWY,MASS,NEWY,5,2,4.672,10.10.1.1,10.10.1.2,2026-05-10T06:20:03.089912
TCP,17.59579164329189,228.0,7602176,8,,MASS_NEWY,MASS,NEWY,5,3,4.673,10.10.1.1,10.10.1.2,2026-05-10T06:20:14.787755
QUIC,7.351563227827829,,8388608,8,,MASS_NEWY,MASS,NEWY,5,3,4.673,10.10.1.1,10.10.1.2,2026-05-10T06:20:26.320919
TCP,67.85392672482156,0.0,6684672,8,,MASS_UCSD,MASS,UCSD,0,1,71.564,10.10.2.1,10.10.2.2,2026-05-10T06:20:51.038626
QUIC,59.991056320231955,,8388608,8,,MASS_UCSD,MASS,UCSD,0,1,71.564,10.10.2.1,10.10.2.2,2026-05-10T06:20:55.014579
TCP,71.79787128825859,0.0,7077888,8,,MASS_UCSD,MASS,UCSD,0,2,71.569,10.10.2.1,10.10.2.2,2026-05-10T06:21:03.420409
QUIC,47.1571315981299,,8388608,8,,MASS_UCSD,MASS,UCSD,0,2,71.569,10.10.2.1,10.10.2.2,2026-05-10T06:21:07.967421
TCP,75.82019467282001,0.0,7471104,8,,MASS_UCSD,MASS,UCSD,0,3,71.563,10.10.2.1,10.10.2.2,2026-05-10T06:21:16.760759
QUIC,59.28398726906013,,8388608,8,,MASS_UCSD,MASS,UCSD,0,3,71.563,10.10.2.1,10.10.2.2,2026-05-10T06:21:21.072554
TCP,1.8284588160545512,115.0,8257536,8,,MASS_UCSD,MASS,UCSD,2,1,71.586,10.10.2.1,10.10.2.2,2026-05-10T06:22:09.000339
QUIC,1.047936425500102,,8388608,8,,MASS_UCSD,MASS,UCSD,2,1,71.586,10.10.2.1,10.10.2.2,2026-05-10T06:23:15.806032
TCP,1.7917759786136873,106.0,8126464,8,,MASS_UCSD,MASS,UCSD,2,2,71.571,10.10.2.1,10.10.2.2,2026-05-10T06:24:00.540888
QUIC,1.1336047325413148,,8388608,8,,MASS_UCSD,MASS,UCSD,2,2,71.571,10.10.2.1,10.10.2.2,2026-05-10T06:25:02.768969
TCP,1.8447614731630504,97.0,7995392,8,,MASS_UCSD,MASS,UCSD,2,3,71.596,10.10.2.1,10.10.2.2,2026-05-10T06:25:45.871609
QUIC,1.0756935333207274,,8388608,8,,MASS_UCSD,MASS,UCSD,2,3,71.596,10.10.2.1,10.10.2.2,2026-05-10T06:26:51.082843
TCP,0.8705715425517563,318.0,8388608,8,,MASS_UCSD,MASS,UCSD,5,1,71.59,10.10.2.1,10.10.2.2,2026-05-10T06:28:21.055824
QUIC,0.6190242094349427,,8388608,8,,MASS_UCSD,MASS,UCSD,5,1,71.59,10.10.2.1,10.10.2.2,2026-05-10T06:30:12.804053
TCP,1.008592200453639,262.0,8126464,8,,MASS_UCSD,MASS,UCSD,5,2,71.554,10.10.2.1,10.10.2.2,2026-05-10T06:31:26.213097
QUIC,0.649893834642733,,8388608,8,,MASS_UCSD,MASS,UCSD,5,2,71.554,10.10.2.1,10.10.2.2,2026-05-10T06:33:12.654652
TCP,0.8919269563812766,322.0,7995392,8,,MASS_UCSD,MASS,UCSD,5,3,71.585,10.10.2.1,10.10.2.2,2026-05-10T06:34:32.893080
QUIC,0.619756206109818,,8388608,8,,MASS_UCSD,MASS,UCSD,5,3,71.585,10.10.2.1,10.10.2.2,2026-05-10T06:36:24.651599
